,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
10,4287432.45425014,4088551.7805184773,3889671.106786815,3690790.4330551527,3491909.7593234903,3293029.085591828,3095993.7650654297,2845993.7650654297,2595993.7650654297,2345993.7650654297,2095993.7650654295,1845993.7650654295,1593593.7650654295,1365685.296595063,1137776.8281246966,909868.3596543302,681959.8911839636,454051.422713597,10000.0
11,4287932.45425014,4089051.7805184773,3890171.106786815,3691290.4330551527,3492409.7593234903,3293529.085591828,3096493.7650654297,2846493.7650654297,2596493.7650654297,2346493.7650654297,2096493.7650654295,1846493.7650654295,1594093.7650654295,1366185.296595063,1138276.8281246966,910368.3596543302,682459.8911839636,454551.422713597,11000.0
12,4288432.45425014,4089551.7805184773,3890671.106786815,3691790.4330551527,3492909.7593234903,3294029.085591828,3096993.7650654297,2846993.7650654297,2596993.7650654297,2346993.7650654297,2096993.7650654295,1846993.7650654295,1594593.7650654295,1366685.296595063,1138776.8281246966,910868.3596543302,682959.8911839636,455051.422713597,12000.0
13,4288932.45425014,4090051.7805184773,3891171.106786815,3692290.4330551527,3493409.7593234903,3294529.085591828,3097493.7650654297,2847493.7650654297,2597493.7650654297,2347493.7650654297,2097493.7650654297,1847493.7650654295,1595093.7650654295,1367185.296595063,1139276.8281246966,911368.3596543302,683459.8911839636,455551.422713597,13000.0
14,4289432.45425014,4090551.7805184773,3891671.106786815,3692790.4330551527,3493909.7593234903,3295029.085591828,3097993.7650654297,2847993.7650654297,2597993.7650654297,2347993.7650654297,2097993.7650654297,1847993.7650654295,1595593.7650654295,1367685.296595063,1139776.8281246966,911868.3596543302,683959.8911839636,456051.422713597,14000.0
15,4289932.45425014,4091051.7805184773,3892171.106786815,3693290.4330551527,3494409.7593234903,3295529.085591828,3098493.7650654297,2848493.7650654297,2598493.7650654297,2348493.7650654297,2098493.7650654297,1848493.7650654295,1596093.7650654295,1368185.296595063,1140276.8281246966,912368.3596543302,684459.8911839636,456551.422713597,15000.0
16,4290432.45425014,4091551.7805184773,3892671.106786815,3693790.4330551527,3494909.7593234903,3296029.085591828,3098993.7650654297,2848993.7650654297,2598993.7650654297,2348993.7650654297,2098993.7650654297,1848993.7650654295,1596593.7650654295,1368685.296595063,1140776.8281246966,912868.3596543302,684959.8911839636,457051.422713597,16000.0
17,4290932.45425014,4092051.7805184773,3893171.106786815,3694290.4330551527,3495409.7593234903,3296529.085591828,3099493.7650654297,2849493.7650654297,2599493.7650654297,2349493.7650654297,2099493.7650654297,1849493.7650654295,1597093.7650654295,1369185.296595063,1141276.8281246966,913368.3596543302,685459.8911839636,457551.422713597,17000.0
18,4291432.45425014,4092551.7805184773,3893671.106786815,3694790.4330551527,3495909.7593234903,3297029.085591828,3099993.7650654297,2849993.7650654297,2599993.7650654297,2349993.7650654297,2099993.7650654297,1849993.7650654295,1597593.7650654295,1369685.296595063,1141776.8281246966,913868.3596543302,685959.8911839636,458051.422713597,18000.0
19,4291932.45425014,4093051.7805184773,3894171.106786815,3695290.4330551527,3496409.7593234903,3297529.085591828,3100493.7650654297,2850493.7650654297,2600493.7650654297,2350493.7650654297,2100493.7650654297,1850493.7650654295,1598093.7650654295,1370185.296595063,1142276.8281246966,914368.3596543302,686459.8911839636,458551.422713597,19000.0
20,4292432.45425014,4093551.7805184773,3894671.106786815,3695790.4330551527,3496909.7593234903,3298029.085591828,3100993.7650654297,2850993.7650654297,2600993.7650654297,2350993.7650654297,2100993.7650654297,1850993.7650654295,1598593.7650654295,1370685.296595063,1142776.8281246966,914868.3596543302,686959.8911839636,459051.422713597,20000.0
21,4292939.039653541,4094058.3659218755,3895177.6921900273,3696297.0184440864,3497416.343614028,3298535.585387673,3101493.7650654297,2851493.7650654297,2601493.7650654297,2351493.7650654297,2101493.7650654297,1851493.7650654295,1599097.7652241967,1371189.2967538456,1143280.828285432,915372.3600610797,687463.9225873075,459559.3595340472,21000.0
22,4293452.065345046,4094571.391613364,3895690.7178804358,3696810.0440650852,3497929.3649559454,3299048.359117733,3101993.7650654297,2851993.7650654297,2601993.7650654297,2351993.7650654297,2101993.7650654297,1851993.7650654295,1599605.576499512,1371697.1080292496,1143788.6395701405,915880.1722856357,687971.8239305973,460074.79807514965,22000.0
23,4293971.376974117,4095090.703242372,3896210.0295057683,3697329.35548808,3498448.6659656814,3299567.176657005,3102493.7650654297,2852493.7650654297,2602493.7650654297,2352493.7650654297,2102493.7650654297,1852493.7650654295,1600117.0115786644,1372208.5431086966,1144300.0746761814,916391.6096347154,688483.4320223522,460597.31290851213,23000.0
24,4294496.811912489,4095616.138180559,3896735.464434451,3697854.789958214,3498974.0801739194,3300091.8046537843,3102993.7650654297,2852993.7650654297,2602993.7650654297,2352993.7650654297,2102993.7650654297,1852993.7650654295,1600631.8855593705,1372723.4170901503,1144814.9487167264,916906.4879559462,688998.582833657,461126.48935538204,24000.0
